symbol,date,open,high,low,close,volume
FFAI,2026-04-07,0.32,0.34,0.31,0.33,93500000
FFAI,2026-04-08,0.33,0.35,0.32,0.34,94800000
FFAI,2026-04-09,0.34,0.36,0.33,0.35,96600000
FFAI,2026-04-10,0.35,0.37,0.33,0.34,100200000
FFAI,2026-04-13,0.34,0.35,0.32,0.33,98200000
FFAI,2026-04-14,0.33,0.35,0.32,0.34,99500000
FFAI,2026-04-15,0.34,0.36,0.33,0.35,101500000
FFAI,2026-04-16,0.35,0.38,0.34,0.37,106000000
FFAI,2026-04-17,0.37,0.39,0.35,0.36,108500000
FFAI,2026-04-20,0.36,0.38,0.34,0.35,103200000
FFAI,2026-04-21,0.35,0.37,0.33,0.34,99700000
BBAI,2026-04-06,3.18,3.31,3.08,3.24,18500000
BBAI,2026-04-07,3.24,3.38,3.14,3.32,19100000
BBAI,2026-04-08,3.32,3.46,3.21,3.41,19700000
BBAI,2026-04-09,3.41,3.56,3.29,3.49,20300000
BBAI,2026-04-10,3.49,3.63,3.36,3.57,20800000
BBAI,2026-04-13,3.57,3.74,3.44,3.66,21400000
BBAI,2026-04-14,3.66,3.82,3.53,3.74,21900000
BBAI,2026-04-15,3.74,3.91,3.61,3.82,22400000
BBAI,2026-04-16,3.82,4.01,3.69,3.9,23100000
BBAI,2026-04-17,3.9,4.09,3.76,3.98,23600000
BBAI,2026-04-20,3.98,4.16,3.82,4.05,24200000
BBAI,2026-04-21,4.05,4.24,3.9,4.14,24900000
HIMS,2026-04-06,22.4,23.1,22.0,22.8,12800000
HIMS,2026-04-07,22.8,23.5,22.4,23.1,13100000
HIMS,2026-04-08,23.1,23.8,22.6,23.4,13300000
HIMS,2026-04-09,23.4,24.1,22.9,23.7,13600000
HIMS,2026-04-10,23.7,24.5,23.2,24.1,13800000
HIMS,2026-04-13,24.1,24.8,23.5,24.3,14100000
HIMS,2026-04-14,24.3,25.1,23.8,24.7,14400000
HIMS,2026-04-15,24.7,25.4,24.0,24.2,14900000
HIMS,2026-04-16,24.2,24.9,23.5,23.8,15300000
HIMS,2026-04-17,23.8,24.6,23.1,23.4,15700000
HIMS,2026-04-20,23.4,24.1,22.8,23.0,16100000
HIMS,2026-04-21,23.0,23.8,22.4,22.6,16600000
IONQ,2026-04-06,14.2,14.8,13.9,14.6,14900000
IONQ,2026-04-07,14.6,15.1,14.3,14.9,15200000
IONQ,2026-04-08,14.9,15.5,14.5,15.2,15700000
IONQ,2026-04-09,15.2,15.8,14.8,15.6,16000000
IONQ,2026-04-10,15.6,16.2,15.1,15.9,16600000
IONQ,2026-04-13,16,16.7,15.6,16.4,17100000
IONQ,2026-04-14,16.4,17.1,16,16.8,17400000
IONQ,2026-04-15,16.8,17.5,16.3,17.2,17700000
IONQ,2026-04-16,17.2,18,16.8,17.7,18200000
IONQ,2026-04-17,17.7,18.4,17.2,18.1,18600000
IONQ,2026-04-20,18.1,18.9,17.6,18.5,19000000
IONQ,2026-04-21,18.5,19.3,18,18.9,19400000
RGTI,2026-04-06,5.9,6.1,5.7,5.8,12300000
RGTI,2026-04-07,5.8,6,5.6,5.7,12400000
RGTI,2026-04-08,5.7,5.9,5.5,5.6,12500000
RGTI,2026-04-09,5.6,5.8,5.4,5.5,12600000
RGTI,2026-04-10,5.5,5.7,5.3,5.4,12700000
RGTI,2026-04-13,5.4,5.6,5.2,5.3,12800000
RGTI,2026-04-14,5.3,5.5,5.1,5.2,12900000
RGTI,2026-04-15,5.2,5.4,5,5.1,13000000
RGTI,2026-04-16,5.1,5.3,4.9,5,13200000
RGTI,2026-04-17,5,5.2,4.8,4.9,13300000
RGTI,2026-04-20,4.9,5.1,4.7,4.8,13400000
RGTI,2026-04-21,4.8,5,4.6,4.7,13500000
QBTS,2026-04-06,3.8,3.9,3.6,3.7,21400000
QBTS,2026-04-07,3.7,3.8,3.5,3.6,21600000
QBTS,2026-04-08,3.6,3.7,3.4,3.5,21800000
QBTS,2026-04-09,3.5,3.6,3.3,3.4,22100000
QBTS,2026-04-10,3.4,3.5,3.2,3.3,22300000
QBTS,2026-04-13,3.3,3.4,3.1,3.2,22500000
QBTS,2026-04-14,3.2,3.3,3,3.1,22800000
QBTS,2026-04-15,3.1,3.2,2.9,3,23000000
QBTS,2026-04-16,3,3.1,2.8,2.9,23200000
QBTS,2026-04-17,2.9,3,2.7,2.8,23500000
QBTS,2026-04-20,2.8,2.9,2.6,2.7,23700000
QBTS,2026-04-21,2.7,2.8,2.5,2.6,23900000
QUBT,2026-04-06,8.2,8.6,8,8.4,8700000
QUBT,2026-04-07,8.4,8.8,8.1,8.6,9000000
QUBT,2026-04-08,8.6,9,8.3,8.9,9300000
QUBT,2026-04-09,8.9,9.3,8.6,9.1,9650000
QUBT,2026-04-10,9.1,9.6,8.9,9.4,10000000
QUBT,2026-04-13,9.4,9.9,9.1,9.6,10300000
QUBT,2026-04-14,9.6,10.1,9.3,9.9,10600000
QUBT,2026-04-15,9.9,10.4,9.6,10.2,10900000
QUBT,2026-04-16,10.2,10.8,9.9,10.5,11150000
QUBT,2026-04-17,10.5,11.1,10.2,10.8,11400000
QUBT,2026-04-20,10.8,11.4,10.5,11.1,11700000
QUBT,2026-04-21,11.1,11.8,10.8,11.5,12000000
